"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","1139","","СreatingCourierTest","","СreatingCourierTest","","creatingCourierRequestShouldReturnsСode201",""
"passed","","","1134","","СreatingCourierTest","","СreatingCourierTest","","creatingCourierRequestShouldReturnCorrectText",""
"passed","","","349","","СreatingCourierTest","","СreatingCourierTest","","creatingCourierRequestShouldReturnCorrectErrorText",""
"passed","","","1430","","СreatingCourierTest","","СreatingCourierTest","","creatingTwoIdenticalCouriersCannotCreatedShouldReturnCode409",""
"passed","","","1999","","LoginCourierTest","","LoginCourierTest","","loginCourierShouldAuthorizationShouldReturnID",""
"passed","","","1050","","СreatingCourierTest","","СreatingCourierTest","","creatingCourierShouldCreatedReturnTrue",""
"passed","","","364","","CreatingOrderTest","","CreatingOrderTest","","creatingOrderColorGreyAndBlackShouldReturnCode201",""
"passed","","","1407","","LoginCourierTest","","LoginCourierTest","","loginCourierForAuthorizationNeedAllFieldsReturnErrorCode",""
"passed","","","549","","CreatingOrderTest","","CreatingOrderTest","","creatingOrderResponseShouldHaveTrack",""
"passed","","","1428","","LoginCourierTest","","LoginCourierTest","","loginCourierShouldAuthorization",""
"passed","","","319","","СreatingCourierTest","","СreatingCourierTest","","creatingCourierWithoutRequiredFieldCreationErrorShouldReturnCode400",""
"passed","","","366","","CreatingOrderTest","","CreatingOrderTest","","creatingOrderColorGreyShouldReturnCode201",""
"passed","","","1367","","LoginCourierTest","","LoginCourierTest","","loginCourierForAuthorizationNeedAllFieldsReturnErrorMessage",""
"passed","","","1479","","СreatingCourierTest","","СreatingCourierTest","","creatingDoubleCourierRequestShouldReturnCorrectResponseErrorText",""
"passed","","","1385","","LoginCourierTest","","LoginCourierTest","","loginCourierBadRequestShouldReturnErrorCode",""
"passed","","","608","","CreatingOrderTest","","CreatingOrderTest","","creatingOrderNoColorShouldReturnCode201",""
"passed","","","1539","","LoginCourierTest","","LoginCourierTest","","loginCourierBadRequestShouldReturnErrorMessage",""
"passed","","","405","","CreatingOrderTest","","CreatingOrderTest","","creatingOrderColorBlackShouldReturnCode201",""
"passed","","","6856","","OrderListTest","","OrderListTest","","getOrderListShouldNotNull",""
